year,state,state_po,office,candidate,party_detailed,candidatevotes,totalvotes,percentage,
2020,MASSACHUSETTS,MA,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,47013,3658005,0.012852087,
2008,MICHIGAN,MI,US PRESIDENT,"BARR, BOB",LIBERTARIAN,23716,5001596,0.004741686,
2012,MICHIGAN,MI,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,7774,4730961,0.001643218,ADDED BY EW 03/08/2024
2016,MICHIGAN,MI,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,172136,4799284,0.035867017,
2020,MICHIGAN,MI,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,60381,5539302,0.010900471,
2008,MINNESOTA,MN,US PRESIDENT,"BARR, BOB",LIBERTARIAN,9174,2910369,0.003152178,
2012,MINNESOTA,MN,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,35098,2936561,0.011952076,
2016,MINNESOTA,MN,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,112972,2944782,0.038363451,
2020,MINNESOTA,MN,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,34976,3277171,0.01067262,
2008,MISSISSIPPI,MS,US PRESIDENT,"BARR, BOB",LIBERTARIAN,2529,1289865,0.00196067,
2012,MISSISSIPPI,MS,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,6676,1285584,0.005192971,
2016,MISSISSIPPI,MS,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,14435,1209357,0.011936095,
2020,MISSISSIPPI,MS,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,8026,1313759,0.006109187,
2008,MISSOURI,MO,US PRESIDENT,"BARR, BOB",LIBERTARIAN,11386,2925205,0.003892377,
2012,MISSOURI,MO,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,43151,2757323,0.015649599,
2016,MISSOURI,MO,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,97359,2808605,0.03466454,
