"","county_fips","state","county_name","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote16","religious_adherents","prev_score"
"1351",27069,"Minnesota","Kittson",0.193203883,0.144382308,0.30952381,0.167247387,0.005745063,0.132062628,0.050733753,0.783931543,NA
"1352",27071,"Minnesota","Koochiching",0.103691927,0.294673367,0.36436963,0.17148869,0.021906316,0.122994652,0.032531825,0.493782126,NA
"1353",27073,"Minnesota","Lac qui Parle",0.214040562,0.169417627,0.304439746,0.16384778,0.012160695,0.110819098,0.02746114,0.973656794,NA
"1354",27075,"Minnesota","Lake",0.111855461,0.201551855,0.31096108,0.164217633,0.009550852,0.117598458,0.032970403,0.473544246,NA
"1355",27077,"Minnesota","Lake of the Woods",0.164263646,0.252586732,0.328431373,0.160539216,0.001862197,0.10619469,0.029884032,0.617326601,NA
"1356",27079,"Minnesota","Le Sueur",0.126029173,0.192915162,0.241798942,0.112610229,0.017508454,0.074244628,0.034333044,0.4739834,-1.09868527604881
"1357",27081,"Minnesota","Lincoln",0.19252669,0.170269245,0.338265516,0.180024661,0.006258503,0.146354167,0.037098377,0.790248227,NA
"1358",27083,"Minnesota","Lyon",0.120498941,0.191176471,0.306529625,0.124445788,0.010844672,0.121074816,0.04281621,0.619810835,-4.19939426397314
"1359",27085,"Minnesota","McLeod",0.091099039,0.202425942,0.305834739,0.13915683,0.018574532,0.085438916,0.04556814,0.698322047,-1.06175518397306
"1360",27087,"Minnesota","Mahnomen",0.129064039,0.361502347,0.307610431,0.14741884,0.048730964,0.14600551,0.025862069,0.446682683,NA
"1361",27089,"Minnesota","Marshall",0.177634607,0.165018094,0.342231714,0.151628404,0.009211873,0.114152411,0.04235001,0.633075221,NA
"1362",27091,"Minnesota","Martin",0.123571645,0.213232886,0.30270575,0.163923337,0.011027455,0.073387506,0.032570506,0.800699126,-0.933325994299693
"1363",27093,"Minnesota","Meeker",0.120792248,0.178456592,0.274094708,0.135153203,0.017554561,0.101878383,0.036476144,0.478760684,-1.28426111814124
"1364",27095,"Minnesota","Mille Lacs",0.097909622,0.261628447,0.299924142,0.130570833,0.037858238,0.1375,0.034647,0.548924752,0.758562972096524
"1365",27097,"Minnesota","Morrison",0.13646492,0.189034645,0.286193323,0.136171454,0.019633746,0.120274914,0.025093675,0.604381064,-1.56065771519769
"1366",27099,"Minnesota","Mower",0.088129681,0.17966972,0.283076727,0.112374625,0.018733054,0.15132869,0.034998589,0.563091758,-1.95455355768141
"1367",27101,"Minnesota","Murray",0.181840734,0.166364812,0.31795017,0.172423556,0.014778325,0.128398297,0.043487575,0.688470473,NA
"1368",27103,"Minnesota","Nicollet",0.083407137,0.217488957,0.296910091,0.141407884,0.011657399,0.093912013,0.045919213,0.510942126,-2.62115986632259
"1369",27105,"Minnesota","Nobles",0.107076176,0.196486018,0.282481467,0.131616595,0.026506784,0.20231518,0.029888786,0.650022432,-0.758377521008977
"1370",27107,"Minnesota","Norman",0.149384316,0.196637427,0.320676692,0.147744361,0.01635795,0.146748682,0.049371358,0.719608756,NA
"1371",27109,"Minnesota","Olmsted",0.076263481,0.164016808,0.286872821,0.098787328,0.017701005,0.167340021,0.044266121,0.475925255,-1.52691242256073
"1372",27111,"Minnesota","Otter Tail",0.138294101,0.187475608,0.295423525,0.146407065,0.017426909,0.116022629,0.030769231,0.561425409,-1.96410039881202
"1373",27113,"Minnesota","Pennington",0.088553493,0.227692308,0.340813008,0.132357724,0.016376779,0.079670811,0.046909903,0.610849057,NA
"1374",27115,"Minnesota","Pine",0.110921898,0.278935662,0.298242531,0.15202109,0.022458452,0.139890485,0.034248063,0.546059011,-1.10121251624083
"1375",27117,"Minnesota","Pipestone",0.138796358,0.195926285,0.339722573,0.151576293,0.010456605,0.103279632,0.027246256,0.709889643,NA
"1376",27119,"Minnesota","Polk",0.109248101,0.194659973,0.322722899,0.134381013,0.015602171,0.111379102,0.034941876,0.546037445,-2.27447485637906
"1377",27121,"Minnesota","Pope",0.157031924,0.164134276,0.27853788,0.167653666,0.012753774,0.118306636,0.034973888,0.579501238,NA
"1378",27123,"Minnesota","Ramsey",0.070963275,0.239163313,0.34374035,0.12563085,0.024099255,0.142808527,0.035241613,0.424656741,-1.97250817647045
"1379",27125,"Minnesota","Red Lake",0.097102186,0.18161435,0.315628816,0.167887668,0.01484375,0.130165289,0.053163211,0.772045743,NA
"1380",27127,"Minnesota","Redwood",0.157329345,0.165383476,0.309300412,0.144032922,0.011185448,0.079589671,0.031796085,0.803435981,NA
"1381",27129,"Minnesota","Renville",0.151993238,0.213939981,0.317562968,0.1523145,0.010761764,0.071441265,0.032079937,0.745092712,NA
"1382",27131,"Minnesota","Rice",0.095016048,0.206501691,0.280163335,0.132086826,0.018687074,0.121595502,0.037912647,0.559846193,-1.74226641022753
"1383",27133,"Minnesota","Rock",0.137482489,0.163378408,0.297221514,0.140453734,0.007580863,0.063351843,0.032031411,0.710016488,NA
"1384",27135,"Minnesota","Roseau",0.122285714,0.197435133,0.294188239,0.129264529,0.011574311,0.180289751,0.028190671,0.455221447,NA
"1385",27137,"Minnesota","St. Louis",0.075541725,0.269919616,0.336852297,0.145323472,0.014547157,0.098759042,0.038835815,0.352238165,-3.29331863597671
"1386",27139,"Minnesota","Scott",0.086245459,0.158719176,0.177330516,0.077470102,0.026567082,0.09767012,0.045315811,0.502246104,0.598883875961757
"1387",27141,"Minnesota","Sherburne",0.081209092,0.178896344,0.197911516,0.087029873,0.024994843,0.108391948,0.039910528,0.295175082,-0.260309779017573
"1388",27143,"Minnesota","Sibley",0.136213469,0.161760288,0.299217953,0.136178171,0.010975227,0.062165565,0.037432467,0.66325155,NA
"1389",27145,"Minnesota","Stearns",0.085163307,0.181881944,0.270472161,0.111305756,0.011216097,0.096205102,0.037340436,0.529925707,-1.16427749087374
"1390",27147,"Minnesota","Steele",0.090823579,0.171524328,0.295116914,0.135300779,0.007438301,0.072325822,0.042129412,0.612468588,-3.20785081846547
"1391",27149,"Minnesota","Stevens",0.122126996,0.124324324,0.3059505,0.118746709,0.008013738,0.128524946,0.037977029,0.770344328,NA
"1392",27151,"Minnesota","Swift",0.171747531,0.216654736,0.309581127,0.175012037,0.005836883,0.105714286,0.030636764,0.68103273,NA
"1393",27153,"Minnesota","Todd",0.153995929,0.187297131,0.276850619,0.125627112,0.0230964,0.120509709,0.023930626,0.481434566,-1.23080736475685
"1394",27155,"Minnesota","Traverse",0.222429907,0.187834225,0.362177251,0.181437544,0.016551724,0.121157324,0.022246941,0.645238095,NA
"1395",27157,"Minnesota","Wabasha",0.141936639,0.163112711,0.283996099,0.129483151,0.012901436,0.119640719,0.039469236,0.707859915,-2.12835310220475
"1396",27159,"Minnesota","Wadena",0.146677342,0.234202696,0.288978026,0.133414719,0.023656916,0.128140704,0.023651572,0.553146107,NA
"1397",27161,"Minnesota","Waseca",0.094254561,0.195852535,0.278660083,0.126651541,0.022064946,0.08669695,0.040091163,0.640552509,NA
"1398",27163,"Minnesota","Washington",0.089165415,0.154195787,0.224191269,0.104895381,0.016357565,0.092968688,0.042846743,0.441764337,-1.25774861087007
"1399",27165,"Minnesota","Watonwan",0.105891267,0.166254125,0.304812834,0.176703092,0.019417476,0.120702449,0.031212485,0.736514707,NA
"1400",27167,"Minnesota","Wilkin",0.162288931,0.245127436,0.317210349,0.145481815,0.004749466,0.085796388,0.044215627,0.542883492,NA
"1401",27169,"Minnesota","Winona",0.089538206,0.240050711,0.345238684,0.12149394,0.011898362,0.080849823,0.044680525,0.560447746,-3.24156717256843
"1402",27171,"Minnesota","Wright",0.092360453,0.176601196,0.218174408,0.09587951,0.02619331,0.090525266,0.043121032,0.435575964,-0.442222114459854
"1403",27173,"Minnesota","Yellow Medicine",0.160152123,0.16370674,0.288335847,0.139517345,0.017621871,0.115934066,0.030894617,0.740869018,NA
"1404",28001,"Mississippi","Adams",0.087779187,0.343502695,0.367360992,0.166293682,0.047758443,0.070196907,0.009034403,0.862279098,3.40507630101624
"1405",28003,"Mississippi","Alcorn",0.088296688,0.352062868,0.314991055,0.139892665,0.026291724,0.089465283,0.01129676,0.727662637,0.72398635455732
"1406",28005,"Mississippi","Amite",0.131203801,0.211944929,0.369386356,0.168666438,0.02455487,0.152255002,0.005390071,0.499056604,NA
"1407",28007,"Mississippi","Attala",0.089148391,0.337531486,0.31563936,0.15465061,0.050310386,0.108722251,0.00690407,0.568505786,NA
"1408",28009,"Mississippi","Benton",0.069474331,0.233445224,0.361957226,0.155865198,0.036068173,0.061983471,0.006977324,0.743918389,NA
"1409",28011,"Mississippi","Bolivar",0.105741279,0.330006086,0.329032809,0.118250171,0.038751525,0.126299318,0.007233796,0.533258028,0.566915110224117
"1410",28013,"Mississippi","Calhoun",0.08919443,0.228229937,0.318205992,0.146605212,0.057939914,0.104209657,0.007661038,0.832051862,NA
"1411",28015,"Mississippi","Carroll",0.088098495,0.237783375,0.322269012,0.145405004,0.045977011,0.097198785,0.00524602,0.579515903,NA
"1412",28017,"Mississippi","Chickasaw",0.130209106,0.250165344,0.315797251,0.156494754,0.058640475,0.08813987,0.007731305,0.768619198,NA
"1413",28019,"Mississippi","Choctaw",0.062480178,0.165075034,0.325028313,0.147791619,0.020086353,0.174496644,0.006396064,0.598835799,NA
"1414",28021,"Mississippi","Claiborne",0.067106284,0.248528746,0.339176829,0.161966463,0.046332849,0.043082815,0.001638577,0.129939792,NA
"1415",28023,"Mississippi","Clarke",0.103387664,0.261197703,0.265489619,0.157920549,0.0221843,0.132945659,0.003722244,0.663784822,NA
"1416",28025,"Mississippi","Clay",0.077900085,0.25,0.346742284,0.14969665,0.017589464,0.063545716,0.006897931,0.885705087,NA
"1417",28027,"Mississippi","Coahoma",0.082937137,0.362769026,0.338380827,0.135209252,0.047745578,0.147018031,0.005947038,0.527816737,2.38042055576238
"1418",28029,"Mississippi","Copiah",0.07606679,0.243029879,0.291637029,0.123463063,0.036110786,0.085490537,0.005623171,0.552735477,3.33969578565824
"1419",28031,"Mississippi","Covington",0.097643098,0.262838538,0.288323267,0.095053207,0.04049343,0.088421053,0.006923164,0.596455834,NA
"1420",28033,"Mississippi","DeSoto",0.07624715,0.224112957,0.220370723,0.076134186,0.049231967,0.110677218,0.02022985,0.513641711,4.84474832456992
"1421",28035,"Mississippi","Forrest",0.074701472,0.278023962,0.308337024,0.097884229,0.043106165,0.072419731,0.021308438,0.713720924,2.39463321764396
"1422",28037,"Mississippi","Franklin",0.060077519,0.285268631,0.23335575,0.143913921,0.071384866,0.054776512,0.005128205,0.680130293,NA
"1423",28039,"Mississippi","George",0.118656183,0.249883232,0.224660281,0.106482513,0.035481383,0.163808664,0.009200283,0.476262834,1.68064803357861
"1424",28041,"Mississippi","Greene",0.074222359,0.40521327,0.283887468,0.138107417,0.025299601,0.278983834,0.005215124,0.323059867,NA
"1425",28043,"Mississippi","Grenada",0.074303406,0.320530344,0.304244724,0.128171686,0.049992414,0.075,0.006563303,0.655185168,NA
"1426",28045,"Mississippi","Hancock",0.119079772,0.250462941,0.273547921,0.145517384,0.04525165,0.088392635,0.017690083,0.289210258,3.68766521778453
"1427",28047,"Mississippi","Harrison",0.09743531,0.299658104,0.284258832,0.109962465,0.040498492,0.113500903,0.01942729,0.442635209,2.21691508697549
"1428",28049,"Mississippi","Hinds",0.078550002,0.305197428,0.345426132,0.11758665,0.048135428,0.152010165,0.010699084,0.765111398,3.3924260930742
"1429",28051,"Mississippi","Holmes",0.05643509,0.340225564,0.37909624,0.148671956,0.050623701,0.081395349,0.003095592,0.488176471,NA
