county_fips,candidatevotes,totalvotes
13053,132,1582
13053,455,1582
13053,291,1582
13053,2,1582
13055,1102,10050
13055,4492,10050
13055,2464,10050
13055,6,10050
13057,19639,144830
13057,56171,144830
13057,23758,144830
13057,19,144830
13059,4048,51333
13059,6974,51333
13059,3409,51333
13059,15,51333
13061,105,1434
13061,401,1434
13061,131,1434
13061,0,1434
13063,4366,112344
13063,7988,112344
13063,3403,112344
13063,56,112344
13065,209,2864
13065,1277,2864
13065,618,2864
13065,1,2864
13067,50764,393746
13067,76907,393746
13067,37609,393746
13067,179,393746
13069,917,15214
13069,7066,15214
13069,2587,15214
13069,8,15214
13071,1365,16083
13071,6132,16083
13071,4270,16083
13071,10,16083
13073,7023,80579
13073,29643,80579
13073,13300,80579
13073,47,80579
13075,486,7035
13075,3301,7035
13075,1113,7035
13075,0,7035
13077,9400,76799
13077,23824,76799
13077,18273,76799
13077,4,76799
13079,562,6102
13079,2713,6102
13079,1152,6102
13079,1,6102
13081,780,8039
13081,3227,8039
13081,977,8039
13081,3,8039
13083,635,7434
13083,3414,7434
13083,2010,7434
13083,7,7434
13085,1964,16081
13085,9095,16081
13085,2336,16081
13085,3,16081
13087,832,11627
13087,4451,11627
13087,1469,11627
13087,6,11627
13089,16078,370804
13089,29966,370804
13089,12126,370804
13089,203,370804
13091,711,8070
13091,2793,8070
13091,2335,8070
13091,4,8070
13093,259,4105
13093,1431,4105
13093,466,4105
13093,3,4105
13095,2355,35311
13095,3818,35311
13095,4259,35311
13095,22,35311
13097,5434,69097
13097,15139,69097
13097,4863,69097
13097,15,69097
13099,416,5187
13099,1504,5187
13099,799,5187
13099,3,5187
13101,121,1441
13101,909,1441
13101,226,1441
13101,0,1441
13103,2520,31570
13103,13471,31570
13103,7350,31570
13103,17,31570
13105,981,9171
13105,3408,9171
13105,1837,9171
13105,0,9171
13107,896,9501
13107,3126,9501
13107,2528,9501
13107,1,9501
13109,491,4247
13109,1926,4247
13109,471,4247
13109,0,4247
13111,2253,14850
13111,5730,14850
13111,4163,14850
13111,23,14850
13113,7382,71993
13113,24162,71993
13113,6352,71993
13113,56,71993
13115,4436,41648
13115,16678,41648
13115,7897,41648
13115,112,41648
13117,14612,129305
13117,60739,129305
13117,9740,129305
13117,31,129305
13119,1404,10765
13119,5364,10765
13119,2299,10765
13119,2,10765
13121,29479,524659
13121,87293,524659
13121,19552,524659
13121,916,524659
13123,2183,16525
13123,6863,16525
13123,4371,16525
13123,12,16525
13125,205,1566
13125,795,1566
13125,403,1566
13125,0,1566
13127,4388,41984
13127,16492,41984
13127,4701,41984
13127,35,41984
13129,2538,24033
13129,9866,24033
13129,6986,24033
13129,15,24033
13131,1103,10707
13131,3896,10707
13131,2028,10707
13131,7,10707
13133,1275,11247
13133,4947,11247
13133,844,11247
13133,2,11247
13135,40396,413865
13135,90472,413865
13135,35271,413865
13135,274,413865
13137,2905,20432
13137,11083,20432
13137,2628,20432
13137,21,20432
13139,12005,90523
13139,40999,90523
13139,11111,90523
13139,55,90523
13141,244,4165
13141,641,4165
13141,274,4165
13141,0,4165
13143,1786,14248
13143,6224,14248
13143,4317,14248
13143,4,14248
13145,2087,19991
13145,6627,19991
13145,5592,19991
13145,13,19991
13147,1437,12727
13147,5687,12727
13147,2338,12727
