"","county_fips","total_candidatevotes","totalvotes","Vote_Trump_county"
"519",13243,1391,3074,0.452504879635654
"520",13245,26781,87016,0.307770984646502
"521",13247,13012,44686,0.291187396500022
"522",13249,1800,2275,0.791208791208791
"523",13251,3916,6628,0.590826795413398
"524",13253,2611,3884,0.672245108135942
"525",13255,18057,30116,0.59958161774472
"526",13257,9368,11885,0.788220445940261
"527",13259,801,1990,0.40251256281407
"528",13261,5732,12150,0.471769547325103
"529",13263,1392,3522,0.395229982964225
"530",13265,360,928,0.387931034482759
"531",13267,6053,8183,0.739704264939509
"532",13269,2418,3839,0.629851523834332
"533",13271,2825,4333,0.651973228709901
"534",13273,2004,4416,0.453804347826087
"535",13275,12954,21853,0.592779023475038
"536",13277,10784,16283,0.662285819566419
"537",13279,7872,10914,0.721275426058274
"538",13281,6384,7979,0.800100263190876
"539",13283,2101,3077,0.682807929801755
"540",13285,18143,30049,0.60378049186329
"541",13287,2349,3792,0.619462025316456
"542",13289,2370,4444,0.533303330333033
"543",13291,12651,15560,0.813046272493573
"544",13293,8608,12905,0.667028283611004
"545",13295,23174,29354,0.78946651223002
"546",13297,37842,51095,0.740620412956258
"547",13299,9865,14192,0.6951099210823
"548",13301,1166,2651,0.439834024896266
"549",13303,4663,9459,0.492969658526271
"550",13305,9987,12778,0.78157771169197
"551",13307,748,1390,0.538129496402878
"552",13309,1583,2285,0.692778993435449
"553",13311,12222,14816,0.824919006479482
"554",13313,25636,36746,0.697654166439885
"555",13315,2403,3281,0.732398658945443
"556",13317,2823,5029,0.56134420361901
"557",13319,2664,4770,0.558490566037736
"558",13321,6830,9285,0.735595045772752
"559",15001,26897,87814,0.306295123784362
"560",15003,136250,382102,0.356580180161318
"561",15007,11582,33497,0.345762307072275
"562",15009,22126,71044,0.311440797252407
"563",16001,130699,259389,0.503872562059301
"564",16003,1941,2586,0.750580046403712
"565",16005,23331,39553,0.589866761054787
"566",16007,2914,3315,0.879034690799397
"567",16009,3878,4973,0.779810979288156
"568",16011,15295,19996,0.764902980596119
"569",16013,4032,13289,0.303408834374295
"570",16015,3485,4820,0.723029045643154
"571",16017,18369,27335,0.671995610023779
"572",16019,37805,53995,0.700157421983517
"573",16021,4937,6313,0.78203706637098
"574",16023,1202,1415,0.849469964664311
"575",16025,507,754,0.672413793103448
"576",16027,61759,90410,0.683099214688641
"577",16029,2906,3416,0.850702576112412
"578",16031,7907,9629,0.821165230034271
"579",16033,264,311,0.84887459807074
"580",16035,3453,4419,0.781398506449423
"581",16037,2089,2739,0.762687112084702
"582",16039,7246,10205,0.710044096031357
"583",16041,5845,6664,0.877100840336134
"584",16043,5548,6719,0.825718112814407
"585",16045,7951,9958,0.798453504719823
"586",16047,4659,6050,0.770082644628099
"587",16049,7826,9602,0.815038533638825
"588",16051,12099,14173,0.853665420165103
"589",16053,5734,7812,0.73399897593446
"590",16055,62837,89467,0.70234835190629
"591",16057,9472,20570,0.460476421973748
"592",16059,3592,4738,0.758125791473195
"593",16061,1489,1870,0.796256684491979
"594",16063,1469,1940,0.757216494845361
"595",16065,13559,17112,0.792367928938756
"596",16067,6265,7993,0.78381083448017
"597",16069,13738,20967,0.655220107788429
"598",16071,2148,2451,0.876376988984088
"599",16073,3819,4742,0.805356389708984
"600",16075,8862,11293,0.784733905959444
"601",16077,2116,3074,0.688353936239427
"602",16079,4216,6049,0.696974706563068
"603",16081,2858,6347,0.45029147628801
"604",16083,25897,36501,0.7094874113038
"605",16085,3947,7063,0.558827693614611
"606",16087,4154,5344,0.777320359281437
"607",17001,24220,33527,0.72240283950249
"608",17003,1486,2618,0.567608861726509
"609",17005,5625,8145,0.69060773480663
"610",17007,13883,24979,0.555786860963209
"611",17009,1931,2521,0.765965886552955
"612",17011,10411,17434,0.597166456349662
"613",17013,2046,2772,0.738095238095238
"614",17015,5105,8024,0.636216350947159
"615",17017,3625,5317,0.68177543727666
"616",17019,35285,95142,0.370866704504845
"617",17021,11563,16204,0.713589237225376
"618",17023,6226,8356,0.745093346098612
"619",17025,5629,6886,0.817455707232065
"620",17027,14304,19170,0.746165884194053
"621",17029,14037,22606,0.620941343006282
"622",17031,558269,2321486,0.240479158607892
"623",17033,7043,9425,0.747267904509284
"624",17035,4601,5832,0.788923182441701
"625",17037,21905,47825,0.458024046001045
"626",17039,5632,8024,0.701894317048853
"627",17041,6227,8738,0.712634470130465
"628",17043,193611,485104,0.399112355288763
"629",17045,6193,8196,0.755612493899463
"630",17047,2833,3366,0.841651812240047
"631",17049,15006,19049,0.787757887553152
"632",17051,8055,10056,0.801014319809069
"633",17053,5048,6953,0.726017546382856
"634",17055,13622,18626,0.73134328358209
"635",17057,9867,16678,0.591617699964024
"636",17059,2019,2674,0.755048616305161
"637",17061,4770,6227,0.766018949735025
"638",17063,16523,26691,0.619047619047619
"639",17065,3432,4315,0.795365005793743
"640",17067,6906,9383,0.73601193648087
"641",17069,1691,2162,0.782146160962072
"642",17071,2394,3647,0.656429942418426
"643",17073,15300,25635,0.596840257460503
"644",17075,10877,14025,0.77554367201426
"645",17077,10890,22643,0.480943337896922
"646",17079,4494,5576,0.805954088952654
"647",17081,12476,17404,0.716846701907607
"648",17083,8712,11937,0.729831615983916
"649",17085,7166,12496,0.573463508322663
"650",17087,5059,6437,0.785925120397701
"651",17089,96775,231876,0.417356690645
"652",17091,28532,49902,0.571760650875716
"653",17093,29492,63974,0.460999781161097
"654",17095,12009,23143,0.518904204295035
"655",17097,123594,334177,0.369845919976539
"656",17099,30113,53591,0.561904051053349
"657",17101,4886,6411,0.762127593199189
"658",17103,9630,16397,0.58730255534549
"659",17105,12208,17174,0.710841970420403
"660",17107,9136,13294,0.687227320595758
"661",17109,7027,12285,0.571998371998372
"662",17111,82260,163879,0.501955711225965
"663",17113,40502,87002,0.465529528056826
"664",17115,28589,49390,0.578841870824053
"665",17117,16153,24022,0.672425276829573
"666",17119,76031,137139,0.554408301066801
"667",17121,12678,17458,0.726200022912132
"668",17123,4197,6334,0.662614461635617
"669",17125,4654,6766,0.687851019804907
"670",17127,4997,6813,0.733450755907823
"671",17129,4764,6928,0.687644341801386
"672",17131,5418,8893,0.609243225008434
"673",17133,14142,21148,0.668715717798373
"674",17135,9544,13727,0.695272091498507
"675",17137,9950,15309,0.649944477104971
"676",17139,4964,6744,0.736061684460261
"677",17141,16248,26272,0.618453105968331
"678",17143,38252,83973,0.455527371893347
"679",17145,7313,10053,0.727444543917239
"680",17147,6248,9822,0.636122989207901
"681",17149,6332,7949,0.796578185935338
"682",17151,1722,2175,0.791724137931034
"683",17153,1699,2624,0.647484756097561
"684",17155,1993,3390,0.587905604719764
"685",17157,11076,14891,0.743804982875562
"686",17159,6089,8063,0.75517797345901
"687",17161,28603,66758,0.428458012522844
"688",17163,57150,128091,0.446167178021875
"689",17165,8103,11066,0.732242906199169
"690",17167,53485,104752,0.510586910035131
"691",17169,2773,3906,0.709933435739887
"692",17171,2114,2737,0.772378516624041
"693",17173,9426,12097,0.779201454906175
"694",17175,2004,2883,0.695109261186264
